,Comment,Predicted_class
265,"找到睡眠定時功能了！好感動！
變更方便！
在播放頁面右上角的⋯裡面
謝謝kkbox",無問題
266,差別待遇,無問題
267,"1.新增的歌詞錯誤回報功能要怎麼用？
2.服務中心的介面無法用KKID進入",其他問題
268,小編請問現在不能提交歌曲了嗎😭,無問題
269,"希望在正在播放歌曲的頁面可以增加刪除鍵
長期使用KKBOX全部歌曲實在太多首
不敢全部刪除 又無力一首一首聽過再決定去留
如果直接在正在聽的頁面刪除實在是會方便很多
整理大量歌曲實在更便利 謝謝",無問題
270,真的試過很多音樂平台，依然還是回到KKbox最熟悉的地方,無問題
271,我睡覺需要音樂！！！,無問題
272,"更新之後以為睡眠定時不見了，後來找一下發現在歌曲播放畫面右上角「⋯」
不用跑設定裡找了～～～",無問題
273,"iPhone 11 pro 
iOS 13.2.3
更新APP後就打不開了",無問題
274,更新之後怎麼沒有定時關閉功能了？？,其他問題
275,很故意欸,無問題
276,聽完單一歌曲之後的系統自動推薦選歌真的很不符合聆聽者的喜好跟品味（例如聽完獨立民謠之後系統竟然推薦80年代華麗搖滾）才用了幾天，就已經想換成其他平台了，演算法真的不太強。,無問題
277,為什麼睡眠倒數不見了,無問題
278,方便好用的播放軟體 推薦唷～,無問題
279,想說有定時很方便，睡覺時也可以放，但現在卻不見了⋯可以新增回來嗎,無問題
280,希望可以恢復定時功能,無問題
281,訂時的功能找不到了 好奇怪...,無問題
282,怎麼沒有定時關閉了？,其他問題
283,搞什麼啊,播放問題
284,為什麼最近只開KKBOX 沒開別的耗電都很兇而且手機還發燙，以前沒有這樣啊,其他問題
285,"能不能把定時關閉功能還我😭
沒有那個功能真的很不方便",無問題
286,之前有定時效果結果現在找不到這個效果 該怎麼辦,無問題
287,逼別人一定要更新煩死了,無問題
288,更新完就找不到定時播放了？？？？可以恢復嗎～～🙏🙏🙏,無問題
289,快把睡眠模式還我啊！沒音樂我沒辦法睡覺啊！！！！！,無問題
290,已經到「發現」 右上角還是沒有音樂辨識,其他問題
291,要人儲值訊息一直傳，儲值了，找個歌一直閃退😡😡😡？現在是什麼情況？,閃退問題
292,剛剛收到的簡訊：KKBOX Hi-Fi 音質採用 16bit/44.1Khz 或 16bit/48Khz 取樣率 的 FLAC 音檔格式，等同於 CD 的細膩音質， 全面提升你的音樂聆聽層次感。  但是app音質裡面，沒有這個選項。,無問題
293,越來越好用了～,無問題
294,大家可以滑一下下面評論的回覆，睡眠定時功能只是換了位置。,無問題
295,"請問為何更新後在設定裡找不到設定關閉的時間
睡覺前都會用的 現在卻找不到好困擾！",無問題
296,倒數計時器很實用啊，希望加回來,無問題
297,不是木及少年啊⋯⋯我想要銀臨的版本,無問題
298,。,not Chinese
299,"我忘了這個功能確切名字是什麼，但我很愛用這個功能！我要聽歌睡覺都會開這個來定時，這個功能找不到了那我幹嘛還要用KKBOX 來聽歌，好悲傷欸！！！！！！

拜託告訴我，這是我手機問題還是真的把這個功能拿掉了？？？？
感謝 ಥ_ಥ",無問題
300,更新後這功能是不是被移除了，希望可以加回來，有時想聽著音樂入睡會用到，定時一個小時關閉很方便。,無問題
301,希望能改進,無問題
302,？？？,not Chinese
303,我根本沒碰手機但是他會自己大聲小聲暫停又播放 播放鍵有時候還不給按 持續兩天了 真的蠻可怕 拜託盡快處理謝謝了:(,無問題
304,版型不合iphone11,無問題
305,用電腦放，自動調整音量大小也按了，聲音忽大忽小還是很嚴重，明明已經取消在收藏歌曲的歌單裡卻還是會播放到，到底是哪裡有問題⋯⋯,無問題
306,更新後睡眠設定消失了，這樣手機晚上聽歌會無法自動關閉，可以協助還原這個設定嗎？😭,無問題
307,希望定時功能可以回來，更新後發現無法定時蠻困擾的,無問題
308,這樣變得很不方便，要睡覺都不能定時聽音樂了，可以設定回來嗎？,無問題
309,計時器怎麼不見了😱睡覺需要啊～,其他問題
310,以前的歌曲庫都可以編輯歌曲的順序，現在都不行了，很困擾，有時歌曲的順序也都會突然自己變動，想調回之前的順序都不行，請改善,無問題
311,上次聽到一半的podcast 想要繼續聽結果死都開不起來沒辦法播放就算了想說從頭開始試看看結果變成沒聲音然後時間條一直在跑==爛死了我考慮要用回Spotify 了⋯⋯,閃退問題
312,希望可以把演唱會資訊，頭條和podcast排到最後面。 會用kkbox主要就是想聽音樂吧！排行榜新發行等等可以排前面，這樣才不用每次還要滑過去,無問題
313,原本有的音樂辨識功能不見了，這樣要搜歌變得好不方便，希望可以改回來。,無問題
314,原本7.9，更新7.10後反而閃退要重下載,無問題
315,快把睡眠模式恢復!!!,無問題
316,近期更新後，發現沒有「睡眠播放設定」的那個功能了？覺得那個功能很好，尤其是對於習慣聽音樂入眠的使用者，現在沒有那個設定，有時睡著了音樂還在播放，反而會被音樂嚇到然後醒來。可以讓那個功能回來嗎？Please,無問題
317,"請問睡眠的倒數計時器怎麼沒了？
我每晚睡前都需要它
結果我更新完就消失了
希望它可以回來……拜託🙏",無問題
318,為啥更新後定時設定不見了😂？,其他問題
319,我的iso版本是13.3.1，今天剛好更新完程式，點app完全無法打開，點開就閃退，從開機也一樣，關app也一樣。請趕快修復啊！！,無問題
320,"強制更新完後，為什麼無法與之前一樣繼續播放前一首歌曲？
每次重新連結藍芽，按下播放就顯示「沒有歌曲」要再找一次原本聽的歌非常不方便，請改善好嗎。",無問題
321,更新後此功能不見了！,其他問題
322,睡眠模式是不是不見了？！！,其他問題
323,更新後，停止播放的功能不見了，晚上睡覺只能播到睡醒才能關，不方便,無問題
324,請問為什麼這個功能更新後不見了,其他問題
325,"希望不只有分享歌詞才能選擇背景
歌詞分享至IG非常喜歡 還可以選擇背景或是專輯封面🤩👍",無問題
326,在手錶打開卻直接閃退到主畫面,無問題
327,這幾天登入一直閃退，是怎樣？,閃退問題
328,"購買好多年
結果這次更新一直閃退
我花錢實用不是給你們更新閃退得！
有沒有搞錯啊
這樣損失你們是要怎麼處理跟負責？",閃退問題
329,超好用 都用這個聽歌,無問題
330,"睡眠定時消失了
點問題都是error",無問題
331,為什麼睡眠模式不見了？,其他問題
332,更新後，睡眠定時在播放頁面也能設定，真的是很貼心👍🏼,無問題
333,我每天必須用的模式消失了😞希望趕快弄回來,無問題
334,擔心音樂播整晚耗電快，但睡覺又想聽歌,無問題
335,希望遇到不喜歡的歌曲可以運用搜尋歌曲直接刪歌，不然要找老半天才能找到然後才刪歌。,無問題
336,"定時可以不要拿掉嗎
那是多麼重要的功能不知道嗎🙄🙄",其他問題
337,搜尋歌曲的功能怎麼不見了,無問題
338,更新後怎麼沒有睡眠時間設定????,無問題
339,"睡覺超好用的倒數計時器怎麼能消失了😭😭
還逼我更新",無問題
340,睡眠定時很重要啊⋯⋯趕快回來這功能,無問題
341,更新之後沒有睡眠定時關閉,其他問題
342,我把歌加入歌單裡了，不過歌單卻沒有我加的這首歌，到底怎麼回事啊？而且還說我已經加了，不過我的歌真的沒有在裡面啊！,其他問題
343,為什麼要付錢,其他問題
344,更新後閃退,閃退問題
345,一更新就閃退，我的天呀，我花錢買會員，還不能用，實在傻眼,閃退問題
346,"Iphone11重開機也無效
更新後打不開了⋯⋯",無問題
347,更新後不能定時播放,播放問題
348,這次更新之後，原先有的睡眠定時功能不見了，希望能夠恢復，對於睡覺需要聽音樂的人來非常需要這個功能，希望能夠恢復。,無問題
349,更新後一直閃退，軟體根本打不開！！！,閃退問題
350,為什麼錄音搜尋歌曲的模式不見了,無問題
351,一直跳出畫面要求更新，點進來app商店卻沒有更新的選項，我就一直被要求更新，卻一直沒有辦法更新，是把我當白痴耍嗎？？,無問題
352,睡眠倒數計時怎麼不見了？,無問題
353,改版後，已經沒有睡眠定時關閉功能很糟糕,其他問題
354,"更新後 找不到定時播放
這很重要啊啊啊啊😭😭😭😭😭",播放問題
355,為什麼睡眠定時關閉的功能不見了？？,其他問題
356,"原本有的定時模式怎麼沒了？
睡覺前都會做這樣的設定，沒了這個真的很不方便",無問題
357,Carplay無法選擇播放最愛歌單，只能選取自選歌單，非常不實用，請協助新增,無問題
358,請問最新版本的定時功能沒有了嗎？,其他問題
359,"ios版可以設定時間自動關閉的功能是否消失了
突然就找不到了
少這個功能很可惜啊～
這功能很重要耶",無問題
360,設定自動停止的功能怎麼不見了？,其他問題
361,如題,無問題
362,請問定時功能怎麼更新後就消失了？,其他問題
363,睡眠模式呢！！！更新後拔了？？？還來😭😭😭😭😭😭😭😭😭😭😭😭😭,無問題
364,更新之後辨識歌曲不見了，要找喜歡的歌很不容易,其他問題
365,少一星是因為更新後「主題色」好醜，我眼睛很不舒服，請快點改善！謝謝,無問題
366,陸陸續續提交了好幾首歌曲建議，幾個月過去了，一點消息都沒有，這個功能有跟沒有一樣，覺得失望⋯⋯。,無問題
367,這版的睡眠定時設定改到播放器右上角的...功能選單，設定不需要跳出到設定頁了，很方便啊！,無問題
368,"建議本機離線歌曲區再新增可編輯歌曲排序功能，方便使用者依喜好自由排列歌曲

請問iphone介面是否無此功能？",無問題
369,"改版之後
內建-設定的
播放時間不見了！",播放問題
370,希望可以推出widget功能,無問題
371,怎麼取消了定時播放呢？ 睡前播歌很好耶,播放問題
372,找不到原本睡眠定時功能，是移除了嗎？,無問題
373,"希望隨機播放不要常常都是那幾首歌
還有新增的歌曲可以在最上面",無問題
374,原本設定裡面有睡眠自行設定關閉音樂的改掉了？我就是因為可以自行設定才下載付費的 那功能改我用什麼？幹嘛消費？,無問題
375,定時的功能怎麼消失了！？,其他問題
376,"睡眠播放時間設定不見了⋯⋯
睡眠播放時間設定不見了⋯⋯
睡眠播放時間設定不見了⋯⋯",無問題
377,定時播放功能不見了😫😫😫,播放問題
378,"今天舊手機上的app開始跳登入介面,然後app跳更新又不給更新,麻煩幫幫忙。",閃退問題
379,如題,無問題
380,這真的是一款很好用的程式，但是為什麼昨天更新完後，設定裡的「睡眠定時播放」就不見了，平常真的很需要那項功能,無問題
381,"你們把睡眠計時取消掉是在衝三小？
不弄回來，我就不用KKBOX 了
無效版本更新，廢",無問題
382,"我覺得設定裡的倒數計時時間停止音樂這個功能很好，為什麼就這樣更新完就不見了？
對於一個晚上睡覺會聽音樂的人很防方便耶！不知道可否改善",無問題
383,"我覺得新版很棒啊~
很多更新後的問題，其實去官網搜尋，都有說明。
大家幹嘛都那麼兇.....
多給設計的人一點鼓勵很難嗎",其他問題
384,請問播放時間限制的功能為何沒有了？,播放問題
385,請問更新完聆聽搜尋跑到哪裡去了,無問題
386,建議好久終於看到睡眠倒數功能了，現在播放就可以直接放著聽歌睡覺了,無問題
387,找了一陣子才發現原來是放在播放畫面右上方的設定裡面，但這樣好像比較直覺耶！,無問題
388,在播放頁面看到睡眠定時功能，超級好用 rrrrrrrr...,無問題
389,更快找到定時功能，喜番 ❤️,其他問題
390,睡眠功能好像改到播放器內，好像感受到你們的苦心安排（？）希望可以好好宣傳一下,無問題
391,"升上ios14之後就沒辦法聽podcast,都過多久了，還不趕緊修復",無問題
392,新改版之後，播放音樂的計時器不見了,其他問題
393,希望可以多一些古風類的歌曲 裡面不是沒有不然就是沒版權了..,無問題
394,突然發現睡眠的計時器不見了，希望可以改善改回來,其他問題
395,更新後睡眠計時不見了,無問題
396,更新後無法設定定時播放,播放問題
397,為什麼不能隨機播放？？？,播放問題
398,"早就把范瑋琪歌全刪，打死都不聽那個雙面人的歌，居然還拿到頭號粉絲，99%，是你不會氣死，這根本亂評！
KKBOX給個交代，憑什麼我沒聽給頭號粉絲，為某要給我這丟臉的標章還刪不掉？

9/22更新 KKBOX回覆

不好意思，目前尚無將粉絲徽章刪除的功能，如果不再支持設定歌手，建議你可將粉絲徽章功能暫時設定為不公開， 如此一來，他人進入到你的個人檔案頁面時，就不會看到你所有的粉絲徽章了。

那標章持續在我就每週來把我的評論往上洗

回報也沒說為何我刪歌還是拿到標章",無問題
399,已更新,無問題
400,在美國突然不能聽，還在綁約中,其他問題
401,是有改過嗎？因為我昨天用的時候還能設定，但，今天卻不能，重開機還是一樣😭,無問題
402,"定時關閉被改掉了

貼網址  說  按照網頁操作

我用app 你貼給我電腦版的操作？

Kkbox 真的沒有競爭性了",無問題
403,離線歌曲原本有1000多首，更新之後只剩500首是什麼意思⋯,播放問題
404,音樂識別是不是移除了,無問題
405,"憑什只有5g用戶可以聽無損
我們4g是有少付錢嗎
已退訂 等你們處理好再回來",無問題
406,不能定時時間到停止音樂,無問題
407,更新後 沒有休眠模式,其他問題
408,聽音樂聽的正爽就沒了 有夠煩,其他問題
409,哪有音樂辨識？怎麼都找不到...沒更新之前還有！,其他問題
410,"更新後這個功能消失了耶
睡覺前聽音樂變得麻煩了",無問題
411,為什麼定時功能不見了...,其他問題
412,這版發現只要一打開臉書音樂就會停止,無問題
413,"沒有定時播放欸
而且突然不見
也更新了還是一樣
我的iPhone 7",播放問題
414,覺得很多此一舉，也沒比較好找,無問題
415,希望能支援iOS 14 耳機的新功能,無問題
416,希望可以在外部帳號管理那邊，新增用 Apple ID 登入,無問題
417,希望apple CarPlay可以新增歌曲收藏功能，這樣就能直接從車上收藏喜歡歌曲,無問題
418,程式更新後一點開就閃退，完全沒辦法使用，這已經困擾我一個禮拜了，希望官方能盡快修復。,無問題
419,很棒的音樂平台,無問題
420,如題,無問題
421,為什麼更新後找不到定時播放了？,播放問題
422,明明我把歌的儲存量改成了4000結果更新之後卻又跑回500甚至把我的歌移除 真的狠令人傻眼 到底又要我重新下載到甚麼時候==,無問題
423,歌單大概播30幾分鐘後就會自動關掉,無問題
424,現在搜尋某一首歌後 只會播放那一首歌 和之前使用時有些差異 我確定不是在單曲循環模式 可以請問我該怎麼解決嗎？這兩星期都有被這個問題困擾,無問題
425,為什麼......,其他問題
426,音樂不能聽了？,無問題
427,前陣子推廣無損音質後，音質真的差異很多⋯,無問題
428,"更新後原本下載的歌都變成無下載了，
重新下載後、幾天再開來聽又變成無下載。

可不可可以給我一個回覆？",其他問題
429,如果試用會員到期，是不是就要儲值，如果沒有是不是會有一些歌曲不能聽,無問題
430,請問能否將音樂辨識弄回來？,無問題
431,"不喜歡粉絲徽章雞肋功能、POSCAST介面放在最前面

用KKBOX單純是聽歌，要找自己另存的歌單都要往下滑很多次，很難用，使用者介面非常不親民，如果短期不改善絕對考慮跳槽",其他問題
432,這次更新之後想找歌，但發現音樂辨識功能不見了ಥ_ಥ請問可以改回來嗎,其他問題
433,"app很棒，也用了十幾年了，推薦給大家。

但在最新一次更新v7.10.22後，一打開就卡住，接著閃退。完全無法聽歌",無問題
434,更新後離線歌曲容量變成500首歌曲，原先是設定4000千首...結果原本的本機離線歌曲有2000多首不見一大堆...,無問題
435,每次播離線下載的音樂播到一半暫停一陣子，回來再繼續播放原本的播放清單 清單就會被重置，希望可以不要一直reload。,無問題
436,為什麼為什麼？,其他問題
437,It’s a best place for listening,not Chinese
438,完全點了也沒辦法聽，連離線歌曲都是傻眼,其他問題
439,"修好了齁
下次不要再這樣了
加油
謝謝",其他問題
440,Apple Watch這兩天連不上？會閃退,無問題
441,你好 一直很喜歡你們家 但是從更新7.10.2後突然Apple watch 打不開app 會直接閃退 希望你們可以解決這個問題 謝謝,無問題
442,打開就閃退打開就閃退，很不便！,無問題
443,7.10.20版本 手錶一直都閃退啦⋯⋯,無問題
444,如題，更新後apple watch無法開啟app，一直閃退，希望趕快改善,無問題
445,"目前applewatch版本6.2.8
無法開啟KKBOX不知道怎麼回事！",無問題
446,更新後手錶控會閃退無法使用,無問題
447,請問 Watech 手錶上沒辦法開啟App是版本還太舊嗎🧐🧐🧐🧐,無問題
448,app更新後完全打不開 ，無法使用,其他問題
449,如題 更新過後apple watch上的app就打不開了,無問題
450,爛東西更新完apple watch不能用,其他問題
451,Apple Watch的kkbox打不開 會一直閃退,閃退問題
452,Applewatch瘋狂閃退,閃退問題
453,"更新後分享歌詞有底色看起來很醜...
希望能恢復之前的分享方式",無問題
454,一直閃退...,閃退問題
455,7.10.20版本更新完，Apple Watch 上面的KKBOX APP打不開,無問題
456,某天自動播放突然失效，不知道原因為何,無問題
457,這版更新後，Apple Watch無法使用，閃退,閃退問題
458,手錶的app完全掛掉了,無問題
459,昨天更新完之後就沒有辦法在手錶開啟KKBOX。,無問題
460,我昨天更新完app過後我在手錶上要操作就出現閃退的現象,無問題
461,一直斷連不上,閃退問題
462,今天剛更新完，Apple watch就無法跳出kkbox的畫面了，不知道有沒有人跟我一樣的狀況😭😭😭,無問題
463,為什麼今天更新完我的Apple watch上的KKBOX打不開...,無問題
464,"不好意思我是購買$600（120+60）天的青年方案
可是官方只給了120天...",無問題
465,"取消收藏個一兩首歌就在那邊同步歌單，浪費好幾秒
取消收藏也是超不方便，容易按到旁邊的拖動條，彈出的取消收藏框框沒意義，反而每次都要等他消失才能按下一首
真心建議重新設計一下版面",無問題
466,希望能將聽過的podcast新增顯示「已播放」，這樣就能清楚知道有無聽過,無問題
467,為什麼更新後播放音樂，播沒幾句就停了,播放問題
468,App斷線太嚴重了,其他問題
469,"為何把剪下貼上功能拿掉？？？？這樣編輯歌單超難用= =
拖曳很難用 我歌很多一首要拖一分多鐘 要拖到何時",其他問題
470,3天前的更新後CarPlay就不能用了,無問題
471,"突然無法連結chromecast欸
以前都可以 嘖嘖",其他問題
472,"昨天更新了kkbox，今天無法用carplay播放kkbox，程式重新下載還是不能打開

更新  
之後又突然可以用了，謝謝",無問題
473,希望除了分享單曲外可以新增分享專輯到instagram上的功能。,無問題
474,張惠妹的歌只有14首？我傻眼,無問題
475,"更新後能進去App了, 但會出現無法連結Kk Box , 再按一次連結仍無法出現歌曲選單...
請儘速改進！

另外建議：
能否在KK BOX 介面下，用語音搜尋找歌？類似 Google map 語音搜尋地點一樣.
謝謝",其他問題
476,"歌單裡大概三分之一的歌未授權下載，如果在沒有網路的地方根本不用聽
未授權歌曲越來越多。
之前說要爭取授權的歌曲，三年了依然聽不到。再騙啊KKBox，當用戶都傻子嗎？",無問題
477,更新後會閃退,閃退問題
478,希望可以匯入youyube歌單,無問題
479,問題一寄出不到一天就會有專員協助回應，最新的版本甚至有頭粉徽章真的太可愛了！,閃退問題
480,已按照說明手動上傳iTunes付費數據，但依然顯示一般會員。已將問題上傳至現上客服快易通，可是客服回函沒有回信。,無問題
481,您好，近來在認養歌詞時，發現歌詞已投稿成功，但卻遲遲未有歌詞出現，覺得審核歌詞速度好像有點久，之前投稿過幾乎都一兩天就會出現，是不是可以改善一下審核歌詞的速度。,無問題
482,帳號要讓另一個人同時使用，但無法登入，請儘速為我處理,閃退問題
483,"終於把開起來延遲五秒的錯誤改善
謝謝",無問題
484,想請問明明沒有設置循環播放、隨機播放、單曲播放，卻一直重複同一首歌，重新下載也沒有變正常，請問該怎麼做？,播放問題
485,我已經按照手機app功能編輯歌詞時間，但我卻收到回覆，說我時間格式設定錯誤，請開發者檢閱一下iOS版本的KKBOX app歌詞認養功能是否正常,無問題
486,有時聽歌希望聽到下一首歌是某一條歌，APP可否增加這個功能呢？,無問題
487,有很好的功能，例如，有很多精心設計的歌單，還有隨著使用者習慣而出現相似曲風的歌單，排行榜與曲風功能很方便，新歌功能也很實用，但隨機播放常常會固定幾首歌重複播放，似乎演算法不夠完整，另外感覺比較差的是，只要有另一台連線就會封鎖原本的連線，建議可以增加連線人數上限，或酌量收取費用，在另一人連線時給予選擇，或更多方案，參考競爭對手的做法，以相近的費用開放多人連線,無問題
488,Android有車用模式，開車時有較大的按鈕介面可以使用，希望iOS版也可以有此功能，會方便很多。,無問題
489,希望能夠有漂浮歌詞出現在手機的頁面上,無問題
490,昨天更新後，今日都無法連接apple CarPlay ~,無問題
491,但希望可以在Carplay上也能有歌詞顯示功能～,無問題
492,更新完ios最新版本後就無法隨機播放了,播放問題
493,找不到下載過後的歌曲,無問題
494,可以增加以前有的使用注音和英文搜尋歌手團體嗎？,無問題
495,最近很常這樣,無問題
496,"1.開始播放歌曲之後，如果我點出那個歌單再點進去，頁面會一樣在最上面，但事實上直接出現在該首歌曲的位置更實用。畢竟我常常又點進去就是為了看看它接下來幾首歌是什麼呀！

2.或許可以增加評論留言之類的功能？歌曲的評論區，有時候很想看看歌曲相關的討論。

3.可以考慮增加翻唱版本的歌曲嗎？例如Conor Maynard,Alex Goot之類有名的翻唱歌手。不知道版權方面可不可行，但很希望不用去yt就能聽翻唱～",無問題
497,現在沒有音樂鬧鐘了嗎@@,無問題
498,更新後一直無法打開,無問題
499,更新後一直閃退，完全沒辦法使用，請盡快解決此問題,閃退問題
